Quality of Life,Over-crowding,National Service,,,,,,,,,,
Cost of Living,Quality of Life,Job Opportunities / Salary,Social Issues,,,,,,,,,
Cost of Living,Quality of Life,,,,,,,,,,,
Cost of Living,Quality of Life,Political Scene / Government,Education,Job Opportunities / Salary,Over-crowding,Weather,,,,,,
Cost of Living,Quality of Life,Education,Job Opportunities / Salary,,,,,,,,,
Cost of Living,Education,Job Opportunities / Salary,Over-crowding,Healthcare Issues,,,,,,,,
Cost of Living,Quality of Life,Job Opportunities / Salary,,,,,,,,,,
Quality of Life,Education,,,,,,,,,,,
Cost of Living,Quality of Life,Weather,,,,,,,,,,
Cost of Living,Quality of Life,Political Scene,Education,Job Opportunities / Salary,Over-crowding,National Service,Healthcare Issues,Government Transparency,Public Social Support,I fucking hate the PAP curs (see above).,,
Cost of Living,,,,,,,,,,,,
Cost of Living,Quality of Life,,,,,,,,,,,
Cost of Living,Quality of Life,Over-crowding,Weather,,,,,,,,,
Cost of Living,Job Opportunities / Salary,Over-crowding,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Quality of Life,Education,Job Opportunities / Salary,National Service,,,,,,,,,
Cost of Living,Quality of Life,Political Scene,Education,Job Opportunities / Salary,Over-crowding,Weather,Government Transparency,,,,,
Cost of Living,,,,,,,,,,,,
Quality of Life,Over-crowding,Weather,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Cost of Living,Quality of Life,Over-crowding,Healthcare Issues,Government Transparency,Public Social Support,,,,,,,
Cost of Living,Quality of Life,Political Scene,Education,Over-crowding,Government Transparency,Public Social Support,,,,,,
,,,,,,,,,,,,
Cost of Living,Quality of Life,Over-crowding,Weather,,,,,,,,,
Quality of Life,Political Scene,Over-crowding,Weather,National Service,Government Transparency,,,,,,,
,,,,,,,,,,,,
Cost of Living,Quality of Life,Political Scene,Job Opportunities / Salary,Over-crowding,Crime / Safety Issues,Government Transparency,,,,,,
Cost of Living,Quality of Life,Healthcare Issues,Public Social Support,Thai wife,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Education,Weather,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Cost of Living,Job Opportunities / Salary,Weather,,,,,,,,,,
,,,,,,,,,,,,
Cost of Living,Quality of Life,Job Opportunities / Salary,Over-crowding,Government Transparency,,,,,,,,
,,,,,,,,,,,,
Cost of Living,Quality of Life,Job Opportunities / Salary,Healthcare Issues,,,,,,,,,
Cost of Living,Quality of Life,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Cost of Living,Quality of Life,Political Scene,Government Transparency,,,,,,,,,
Cost of Living,Quality of Life,Political Scene,Over-crowding,Weather,National Service,Government Transparency,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Cost of Living,Quality of Life,Education,,,,,,,,,,
Cost of Living,Education,Healthcare Issues,,,,,,,,,,
Cost of Living,Quality of Life,Weather,National Service,Technology scene,,,,,,,,
,,,,,,,,,,,,
Cost of Living,Quality of Life,Healthcare Issues,Crime / Safety Issues,Government Transparency,,,,,,,,
Cost of Living,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Quality of Life,Job Opportunities / Salary,Weather,,,,,,,,,,
Quality of Life,Over-crowding,Weather,marriage,,,,,,,,,
Cost of Living,Quality of Life,Political Scene,Education,Job Opportunities / Salary,Over-crowding,Weather,Healthcare Issues,Government Transparency,Public Social Support,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Cost of Living,Quality of Life,Job Opportunities / Salary,Over-crowding,Government Transparency,Public Social Support,,,,,,,
Cost of Living,Quality of Life,Over-crowding,Weather,,,,,,,,,
Cost of Living,Job Opportunities / Salary,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Political Scene,Weather,Government Transparency,Public Social Support,no human rights and We canâ€™t even protest or speak up without getting prosecuted by the government when they decide on something. ,,,,,,,,
,,,,,,,,,,,,
Cost of Living,Quality of Life,Over-crowding,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Cost of Living,Education,Job Opportunities / Salary,Government Transparency,,,,,,,,,
Cost of Living,Quality of Life,Education,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Quality of Life,Job Opportunities / Salary,Over-crowding,Weather,,,,,,,,,
Cost of Living,Quality of Life,Over-crowding,Weather,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Cost of Living,,,,,,,,,,,,
Cost of Living,Quality of Life,Education,Job Opportunities / Salary,,,,,,,,,
,,,,,,,,,,,,
Cost of Living,Job Opportunities / Salary,Healthcare Issues,,,,,,,,,,
,,,,,,,,,,,,
Cost of Living,Quality of Life,Weather,Government Transparency,Public Social Support,,,,,,,,
Cost of Living,Quality of Life,Over-crowding,Weather,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Cost of Living,Quality of Life,Job Opportunities / Salary,Weather,,,,,,,,,
Quality of Life,Over-crowding,Weather,,,,,,,,,,
Cost of Living,Quality of Life,Political Scene,Education,Job Opportunities / Salary,Over-crowding,Weather,National Service,Healthcare Issues,Government Transparency,,,
Cost of Living,Quality of Life,Political Scene,Education,Job Opportunities / Salary,Over-crowding,Weather,National Service,Healthcare Issues,Crime / Safety Issues,Government Transparency,Public Social Support,
Cost of Living,Quality of Life,Political Scene,Education,Job Opportunities / Salary,Over-crowding,Weather,National Service,Healthcare Issues,Government Transparency,,,
Cost of Living,Quality of Life,Job Opportunities / Salary,Over-crowding,Weather,National Service,Government Transparency,,,,,,
Quality of Life,Education,Job Opportunities / Salary,Government Transparency,,,,,,,,,
Cost of Living,Quality of Life,Political Scene,Education,Job Opportunities / Salary,Over-crowding,Government Transparency,,,,,,
,,,,,,,,,,,,
Cost of Living,Quality of Life,Job Opportunities / Salary,Over-crowding,National Service,Government Transparency,,,,,,,
Quality of Life,Weather,,,,,,,,,,,
Cost of Living,Quality of Life,Over-crowding,Weather,Healthcare Issues,Government Transparency,Public Social Support,,,,,,
Cost of Living,Quality of Life,Political Scene,Job Opportunities / Salary,Over-crowding,Weather,National Service,,,,,,
Cost of Living,Quality of Life,Political Scene,Education,Over-crowding,Weather,National Service,Healthcare Issues,Crime / Safety Issues,Government Transparency,Public Social Support,,
Cost of Living,Quality of Life,Political Scene,Over-crowding,Weather,National Service,Healthcare Issues,Government Transparency,,,,,
Quality of Life,Over-crowding,Weather,,,,,,,,,,
Political Scene,,,,,,,,,,,,
Cost of Living,Quality of Life,Political Scene,Education,Job Opportunities / Salary,National Service,Healthcare Issues,Government Transparency,Public Social Support,,,,
Cost of Living,Quality of Life,Political Scene,Education,Job Opportunities / Salary,Over-crowding,Weather,Healthcare Issues,Crime / Safety Issues,Government Transparency,Public Social Support,,
Cost of Living,Quality of Life,Over-crowding,Government Transparency,Public Social Support,,,,,,,,
Quality of Life,Education,Weather,The number of idiots in our society,,,,,,,,,
,,,,,,,,,,,,
Education,National Service,See no future for Singapore as a country. And any children of mine will never waste 2 years of their lives vide conscription ,,,,,,,,,,
Cost of Living,Quality of Life,Political Scene,Over-crowding,Government Transparency,,,,,,,,
Education,Job Opportunities / Salary,National Service,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Quality of Life,Job Opportunities / Salary,Over-crowding,,,,,,,,,,
Quality of Life,Political Scene,Job Opportunities / Salary,Over-crowding,Public Social Support,,,,,,,,
Cost of Living,Quality of Life,Political Scene,Job Opportunities / Salary,National Service,Government Transparency,,,,,,,
Quality of Life,Political Scene,Job Opportunities / Salary,,,,,,,,,,
Cost of Living,Quality of Life,Political Scene,Education,Job Opportunities / Salary,Over-crowding,Weather,National Service,Healthcare Issues,Crime / Safety Issues,Government Transparency,Public Social Support,
Cost of Living,Political Scene,Over-crowding,Government Transparency,,,,,,,,,
,,,,,,,,,,,,
Quality of Life,Weather,,,,,,,,,,,
Cost of Living,Quality of Life,Political Scene,Education,Job Opportunities / Salary,Over-crowding,Weather,National Service,Healthcare Issues,Crime / Safety Issues,Government Transparency,Public Social Support,
Cost of Living,Quality of Life,Political Scene,Education,Job Opportunities / Salary,Over-crowding,Weather,National Service,Healthcare Issues,Crime / Safety Issues,Government Transparency,Public Social Support,Twmm
Job Opportunities / Salary,,,,,,,,,,,,
Weather,,,,,,,,,,,,
Cost of Living,Quality of Life,Job Opportunities / Salary,,,,,,,,,,
Cost of Living,Quality of Life,Over-crowding,Weather,,,,,,,,,
,,,,,,,,,,,,
Cost of Living,Quality of Life,Over-crowding,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
Cost of Living,Quality of Life,Education,Job Opportunities / Salary,Over-crowding,Weather,Public Social Support,,,,,,
Cost of Living,Quality of Life,Political Scene,Job Opportunities / Salary,Over-crowding,Government Transparency,"Mass import of foreign ""talents""",,,,,,
Cost of Living,Quality of Life,Job Opportunities / Salary,Over-crowding,National Service,Healthcare Issues,Government Transparency,,,,,,
Quality of Life,Education,Job Opportunities / Salary,Weather,,,,,,,,,
Cost of Living,Quality of Life,Job Opportunities / Salary,,,,,,,,,,
Cost of Living,Quality of Life,Job Opportunities / Salary,Over-crowding,Government Transparency,,,,,,,,
Cost of Living,Quality of Life,Education,National Service,Government Transparency,,,,,,,,
,,,,,,,,,,,,
Cost of Living,Political Scene,Over-crowding,Government Transparency,,,,,,,,,
Cost of Living,Quality of Life,Political Scene,Education,Over-crowding,Healthcare Issues,Government Transparency,Public Social Support,,,,,
Cost of Living,Political Scene,Job Opportunities / Salary,Over-crowding,Weather,National Service,Public Social Support,,,,,,
Cost of Living,Quality of Life,Job Opportunities / Salary,Over-crowding,Weather,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Cost of Living,,,,,,,,,,,,
Quality of Life,Job Opportunities / Salary,Over-crowding,Weather,National Service,Government Transparency,Public Social Support,,,,,,
Quality of Life,Political Scene,Job Opportunities / Salary,National Service,,,,,,,,,
Quality of Life,Political Scene,Education,Over-crowding,Government Transparency,"Singapore has changed so much. I don't recognise it as the place I ""grew up in"" anymore. ",,,,,,,
Cost of Living,Political Scene,Over-crowding,Government Transparency,Public Social Support,,,,,,,,
Weather,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Quality of Life,Over-crowding,Weather,,,,,,,,,,
Cost of Living,Quality of Life,Weather,Healthcare Issues,Crime / Safety Issues,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
Cost of Living,Over-crowding,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Cost of Living,Quality of Life,Job Opportunities / Salary,Over-crowding,Government Transparency,,,,,,,,
,,,,,,,,,,,,
Cost of Living,,,,,,,,,,,,
,,,,,,,,,,,,
Over-crowding,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Education,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Education,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
,,,,,,,,,,,,
Education,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
,,,,,,,,,,,,
Over-crowding,,,,,,,,,,,,
,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Weather,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Education,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
Over-crowding,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Weather,,,,,,,,,,,,
,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Education,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Over-crowding,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Education,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Weather,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Over-crowding,,,,,,,,,,,,
,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Education,,,,,,,,,,,,
,,,,,,,,,,,,
National Service,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
,,,,,,,,,,,,
Weather,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Education,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Over-crowding,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Over-crowding,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Quality of Life,,,,,,,,,,,,
National Service,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
,,,,,,,,,,,,
Political Scene / Government,,,,,,,,,,,,
Education,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
,,,,,,,,,,,,
Weather,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Over-crowding,,,,,,,,,,,,
Over-crowding,,,,,,,,,,,,
,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
,,,,,,,,,,,,
Weather,,,,,,,,,,,,
,,,,,,,,,,,,
Over-crowding,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
,,,,,,,,,,,,
Over-crowding,,,,,,,,,,,,
Over-crowding,,,,,,,,,,,,
,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
Healthcare Issues,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Weather,,,,,,,,,,,,
,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Education,,,,,,,,,,,,
Healthcare Issues,,,,,,,,,,,,
Weather,,,,,,,,,,,,
,,,,,,,,,,,,
Healthcare Issues,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Weather,,,,,,,,,,,,
Weather,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
Over-crowding,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Government Transparency,,,,,,,,,,,,
,,,,,,,,,,,,
Over-crowding,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
Education,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Over-crowding,,,,,,,,,,,,
Over-crowding,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Education,,,,,,,,,,,,
,,,,,,,,,,,,
Healthcare Issues,,,,,,,,,,,,
,,,,,,,,,,,,
Weather,,,,,,,,,,,,
Over-crowding,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
Weather,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
,,,,,,,,,,,,
Over-crowding,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
Weather,,,,,,,,,,,,
,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
Over-crowding,,,,,,,,,,,,
Weather,,,,,,,,,,,,
,,,,,,,,,,,,
See no future for Singapore as a country. And any children of mine will never waste 2 years of their lives vide conscription ,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
National Service,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Over-crowding,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
Over-crowding,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
Over-crowding,,,,,,,,,,,,
,,,,,,,,,,,,
Over-crowding,,,,,,,,,,,,
,,,,,,,,,,,,
Education,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
Education,,,,,,,,,,,,
,,,,,,,,,,,,
Over-crowding,,,,,,,,,,,,
Political Scene,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Over-crowding,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
Education,,,,,,,,,,,,
Over-crowding,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Weather,,,,,,,,,,,,
Weather,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Job Opportunities / Salary,,,,,,,,,,,,
