Country Name,CountryID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Aruba,,,,,,,,,,,,,35973.78051,,,,,,
Afghanistan,10,,,875.5176104,922.8294492,916.3344748,1011.595524,1065.619665,1210.479265,1247.066144,1482.098837,1581.600836,1660.739856,1873.153946,1913.160644,1937.235365,1926.357336,1944.117005,1980.516177
Angola,14,2277.374611,2349.731596,2620.884723,2698.044285,2948.770248,3550.720284,4202.208484,5128.35345,5743.098881,5718.685523,5778.380803,5911.254092,6110.423392,6403.767556,6591.53882,6631.618694,6440.990242,6388.960022
Albania,11,4029.016971,4457.111638,4754.653697,5114.721695,5522.982134,5942.884009,6631.835687,7291.239751,8228.337106,8813.252003,9637.345368,10207.7647,10526.24122,10570.953,11259.2645,11334.22093,11559.30084,12020.69073
Andorra,13,,,,,,,,,,,,,,,,,,
Arab World,,9328.026445,9508.939133,9507.913898,9912.46492,10878.75718,11594.61102,12391.36019,12981.39877,13672.68871,13575.98166,14064.01049,14444.87792,15333.66187,15703.19347,16011.25293,16337.96649,16716.5469,16922.1043
United Arab Emirates,189,81351.36414,80029.02844,78934.63552,82099.8058,84604.3423,81736.47692,80841.04951,74271.68145,68508.70682,58822.14614,56074.88069,58363.67822,60513.61971,63839.33558,67360.34745,70887.39073,73017.48001,73878.46766
Argentina,17,11810.06136,11419.05887,10217.2731,11217.57193,12430.71372,13817.71407,15227.5125,16865.54476,17711.44179,16618.12085,18333.5437,19629.35185,19579.00648,20161.49683,19802.10001,20356.91551,20042.54002,20786.67933
Armenia,18,2318.238073,2613.784567,3020.453987,3531.968643,4031.947204,4769.489004,5607.645869,6605.216696,7260.968756,6323.578336,6567.258582,7022.103943,7649.491409,7997.387128,8397.099178,8727.558325,8832.763435,9647.486113
American Samoa,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,14987.41116,14317.23875,14480.08018,15479.22208,16633.54465,18065.80523,20747.37564,22996.70583,23162.68576,20271.08635,18824.07315,18605.31675,19398.05948,19480.1026,20619.87137,21462.28694,22661.48854,23593.93283
Australia,3,26316.94788,27348.14676,28706.43781,29678.48929,31311.63694,32539.08157,34291.28776,36512.50384,37409.16307,40234.41792,39274.76423,41894.17305,42733.93625,45794.40427,46742.80265,46220.25126,46144.12081,47046.67046
Austria,19,29375.4048,29739.94153,31178.69333,32106.466,33755.14293,35013.71404,37627.97092,39385.74227,41316.22518,40919.15058,42047.03268,44452.73275,46457.34578,47922.04912,48787.49159,49883.0413,50521.48262,52557.47899
Azerbaijan,20,3534.329148,3942.084882,4393.967199,4945.907916,5551.448842,7169.150431,9830.162606,12477.38469,13799.78614,14900.50866,15627.60562,15754.15236,16180.88715,17171.76137,17608.37063,17782.02615,17256.62697,17398.16356
Burundi,39,597.7181893,609.1447542,628.1992591,613.6300389,639.8742272,644.7866027,677.3826655,704.4398589,729.4627833,735.7012343,748.3806576,771.5094237,793.0801921,818.2852133,846.0948682,796.9608114,777.7528517,770.9413743
Belgium,26,27983.99612,28982.59509,30482.78465,31054.30539,32249.49946,33332.33135,35390.85353,36866.26563,38133.50146,38001.99092,40091.00999,41248.72534,42354.63149,43519.77792,44601.36711,45414.8906,46416.8542,47561.02935
Benin,28,1320.889575,1380.620229,1422.954063,1456.364545,1516.430287,1545.698265,1608.772887,1701.207073,1768.744657,1773.168783,1781.987066,1820.894693,1890.14073,2002.106604,2108.016041,2116.036775,2167.272847,2266.231602
Burkina Faso,37,852.3889727,903.274517,929.9310412,993.2680608,1035.5229,1127.558743,1198.509517,1261.416064,1338.860297,1347.579242,1394.584727,1472.716482,1549.480266,1616.779271,1666.894544,1699.879935,1771.162139,1869.758161
Bangladesh,23,1301.463285,1372.362514,1420.431252,1491.023592,1586.182168,1718.402873,1864.194503,2024.232095,2163.554427,2264.871499,2393.315832,2570.850145,2756.443467,2934.644352,3131.922662,3335.759791,3579.755981,3868.822303
Bulgaria,36,6376.857463,6914.688837,7726.401398,8342.568168,9126.067817,10211.31493,11315.0101,12798.6946,14328.92954,14143.61302,14948.59757,15676.15054,16208.21349,16631.66156,17508.8855,18115.23037,19242.62262,20329.34361
Bahrain,22,35622.6017,35578.88429,35516.29323,36258.09248,37399.84481,38466.56221,39163.12045,40282.96652,40557.02431,39412.16741,39749.84938,40164.58274,41714.84361,44168.37795,46180.03762,46775.74033,47066.7631,47526.90428
"Bahamas, The",,26149.41714,26972.67205,27579.53946,27194.14815,27596.02551,28849.72996,29887.10185,30535.5005,29857.27156,28325.87868,28630.87037,28941.02823,29937.10217,29878.04704,29977.56561,30249.73823,29779.798,30430.16948
Bosnia and Herzegovina,,4528.613045,4735.17318,5114.274174,5348.587224,5840.6514,6453.186632,7380.875407,8161.686235,9006.447009,9003.269729,9314.886031,9901.610202,10181.91323,10825.84002,11164.20573,11526.42439,12172.65026,12875.9691
Belarus,25,5994.557257,6453.905308,6927.554568,7616.458952,8781.636438,9984.19271,11389.55128,12756.63497,14383.16739,14553.79537,15906.7562,17166.69564,17801.9187,18271.75429,18903.15902,18347.1407,18089.05033,18847.93389
Belize,27,5517.230644,5747.762288,5965.7467,6481.056128,6793.297236,7010.18845,7362.526337,7445.771145,7638.347961,7559.53891,7717.472528,7857.248066,8120.919983,8130.315951,8427.075635,8654.855391,8540.40422,8590.013256
Bermuda,29,40535.20826,43976.09251,43706.03474,45797.32036,47835.43923,49877.28411,53949.42371,56640.989,58288.61209,55320.16171,55254.21412,54984.51039,53097.69629,52436.05641,,,,
Bolivia,31,3497.279428,3570.056776,3647.57123,3753.050865,3946.708545,4180.318268,4438.624699,4684.946885,4986.880533,5108.873594,5298.084512,5598.508445,5899.641861,6303.06642,6662.829762,6955.18277,7234.195243,7559.639404
Brazil,34,9012.955425,9216.321377,9515.100023,9690.072499,10401.84334,10950.56977,11603.60237,12501.12841,13259.7294,13212.37847,14243.49214,14973.09847,15398.4287,15971.00897,16195.87112,15656.26667,15181.47137,15483.54083
Barbados,24,12260.2352,12200.79348,12450.7199,12941.19001,13442.06785,14381.22563,15609.29403,16247.52394,16512.90109,15906.75331,16085.84958,16472.0832,16767.03603,16982.09936,17233.43555,17525.64926,18054.74075,18639.45174
Brunei Darussalam,35,65034.83466,66960.52082,69246.74818,71337.23521,72411.57528,73873.29024,78398.18966,79616.87031,78682.98083,76964.31777,78923.39047,82434.88309,83504.30252,81827.27346,80155.54299,79439.06245,77420.61234,78836.12468
Bhutan,30,2804.932757,3019.00093,3300.162931,3524.926753,3734.48887,4026.341876,4331.461906,5131.410377,5372.132429,5664.127805,6289.814364,6805.878456,7162.293474,7317.337414,7760.090183,8245.605306,8900.764553,9560.774453
Botswana,33,8251.81945,8332.796627,8848.104378,9314.395718,9695.193429,10313.61119,11346.04949,12413.28569,13226.60649,12098.79299,13064.46624,13889.27047,14506.88523,16111.10915,16765.15961,16352.87933,16960.96387,17354.19971
Central African Republic,44,644.4398952,674.6802698,696.1141842,659.1810977,704.9207677,721.2489966,765.1871638,807.5161372,826.8134171,836.0110424,863.3202047,904.6104858,956.1173968,613.734676,629.0464251,661.8876249,693.3069097,725.9454195
Canada,2,29185.35506,30073.91281,30851.31148,32189.0616,33754.86956,36134.60224,38009.876,39441.96779,40277.61931,38791.07469,40027.24021,41565.27122,42145.09786,44101.47145,45519.79392,44647.36423,44819.4836,46377.64919
Central Europe and the Baltics,,10010.46817,10790.77324,11598.17881,12338.56306,13463.28775,14289.64337,15884.4589,17710.03245,19612.44766,19610.84689,20727.85787,22150.80314,22956.18147,23973.63107,24956.17527,25841.60932,26867.05418,28888.61907
Switzerland,176,35748.87697,36808.63938,37718.30413,37710.7989,39184.01884,40572.26318,45112.27867,49737.76099,52584.73495,51759.75274,53119.38653,56183.83259,57849.58399,60108.51635,61902.16241,63648.28802,63881.67462,65006.52538
Channel Islands,,,,,,,,,,,,,,,,,,,
Chile,46,9571.978941,9994.170918,10343.22738,10858.80143,11831.31005,12774.73122,15773.82302,16971.76671,16551.30715,16226.20693,18265.34253,20437.70453,21620.28097,22578.72892,22978.1913,22785.81803,23476.4268,24084.97031
China,47,2933.314817,3226.848456,3551.663652,3961.273893,4455.205022,5092.559837,5883.719377,6863.981755,7635.072611,8374.432271,9333.124237,10384.3666,11351.06206,12367.96501,13440.47746,14450.09499,15530.63427,16806.74186
Cote d'Ivoire,,2336.356921,2342.854996,2295.191399,2268.272292,2317.614362,2388.432195,2450.596778,2508.373899,2567.190743,2612.063869,2635.837771,2511.420195,2762.341426,2980.26506,3217.771022,3451.877418,3693.652396,3953.381325
Cameroon,41,2063.823523,2147.154828,2214.148948,2300.104376,2457.351516,2519.090011,2614.410426,2739.672885,2812.645055,2817.987654,2870.562687,2969.047575,3076.858139,3208.268326,3367.176974,3502.407887,3609.375597,3694.199953
"Congo, Dem. Rep.",,454.3115405,442.5173639,449.1765225,469.0582365,498.483441,528.9616984,556.0295114,587.0943981,615.2779121,616.8500519,646.8557934,682.4321554,719.8175461,767.4772397,827.3167664,865.0994627,868.2215432,887.2128626
"Congo, Rep.",,3551.092649,3667.708329,3790.194842,3791.129803,3915.740808,4223.074355,4474.880108,4369.052287,4543.924889,4760.444498,5081.432145,5213.946921,5368.26569,5502.482873,5834.009762,5902.429651,5662.798091,5359.074336
Colombia,48,6585.334138,6750.687139,6927.321253,7241.331258,7732.319476,8248.355342,8957.341118,9710.917596,10132.26566,10260.22668,10680.00301,11496.47771,12058.34376,12725.04373,13395.5162,13827.67279,14165.45122,14552.00856
Comoros,49,1173.817526,1198.671086,1215.644913,1236.16601,1264.156135,1310.265382,1353.519441,1367.48884,1366.64755,1370.466884,1383.929694,1414.611723,1448.427686,1487.110507,1508.620417,1504.716581,1521.857218,1552.24585
Cabo Verde,,3039.919351,3116.711016,3268.913606,3412.642078,3801.929908,4134.497584,4542.140553,5308.134172,5710.16342,5620.539317,5710.344252,5991.77849,6097.221554,6171.857988,6245.005482,6298.803772,6541.099764,6831.460461
Costa Rica,51,7829.812962,8139.810103,8397.302536,8793.383147,9289.503317,9817.001194,10697.46354,11714.21474,12329.93006,12141.93498,12737.02018,13397.23054,14133.68818,14524.6715,15140.47037,15694.6192,16387.04904,17044.18856
Caribbean small states,,9055.307886,9404.919625,9868.627109,10663.22098,11373.4736,12099.68242,13285.27633,14009.48119,14425.81278,13947.33661,14245.95374,14601.73631,14968.87446,15283.88226,15558.6421,15829.14408,15595.56511,15761.21089
Cuba,53,,,,,,,,,,,,,,,,,,
Curacao,,,,,,,,,,,,,,,,,,,
Cayman Islands,43,,,,,,,,,,,,49903.02854,,,,,,
Cyprus,54,21709.15509,23263.4339,23964.75544,24300.46323,26082.75964,28169.55688,30482.60764,32993.28227,34823.65424,33882.09647,33263.01583,33192.59298,31914.62435,30620.70715,30383.51482,31523.92688,32882.21862,34503.47033
Czech Republic,55,16188.22719,17569.10583,18189.23435,19424.75471,20806.60891,21956.38386,23779.57372,26120.37508,27844.79533,27594.34686,27694.40198,28797.41796,29047.24644,30485.71415,32263.31575,33468.7265,34749.21236,36915.93263
Germany,75,27293.76756,28499.60608,29326.91207,29987.9125,31428.63064,31968.46745,34246.20765,36444.51569,38028.77214,37035.78003,39225.59999,42692.51976,43564.14802,45232.19785,47092.48837,47810.83601,48943.1018,50715.55404
Djibouti,58,,,,,,,,,,,,2705.405589,,,,,,
Dominica,59,6480.082683,6659.686951,6628.72186,7252.68598,7663.051596,7874.891864,8333.388801,9077.608081,9897.450464,9834.512408,9991.976286,10135.27403,10164.95816,10215.87892,10803.26191,10586.77041,10947.71522,10619.95158
Denmark,57,28657.54079,29474.13815,30640.34504,30784.13522,32920.47703,34150.1558,37300.49284,38961.77061,41278.32884,40332.45142,43041.54202,44403.39415,44803.96224,46726.85332,47901.44758,48674.84075,49029.01484,50540.81377
Dominican Republic,60,6499.853498,6706.14489,7006.286074,6943.330205,7208.898739,8023.782318,8900.154654,9677.257368,10044.09956,10078.87014,10907.35641,11333.54709,11706.6926,12322.38621,13339.7627,14264.83549,15227.94202,16029.62371
Algeria,12,8093.530893,8416.752682,8911.68068,9621.160947,10176.67563,10971.84687,11332.7899,11843.71921,12162.26435,12242.17814,12610.24805,12990.34502,13404.41178,13715.74358,14203.8954,14614.97043,15013.29638,15275.37422
East Asia & Pacific (excluding high income),,3289.053495,3548.970453,3845.223654,4220.20851,4677.281309,5241.443522,5920.633028,6744.129116,7387.854111,7938.705245,8744.620905,9592.577194,10420.49531,11257.59359,12133.15349,12958.52798,13845.23347,14904.79815
Early-demographic dividend,,4022.17412,4114.613002,4187.87323,4412.63488,4756.626987,5153.502202,5593.945668,6041.041323,6333.423435,6443.551925,6880.892994,7301.149809,7644.566289,8002.338017,8414.254956,8762.816615,9190.767372,9701.624031
East Asia & Pacific,,5710.268109,6012.303367,6380.519728,6800.235157,7382.934228,8037.643444,8827.829497,9759.378233,10388.12899,10789.32991,11721.84539,12610.42886,13479.35807,14402.56646,15259.96864,16114.48315,17038.88856,18155.58293
Europe & Central Asia (excluding high income),,6074.517793,6439.231886,6892.337952,7619.936348,8535.451544,9586.585219,11474.10982,12800.1902,14705.54678,14209.85087,15196.63939,17266.78239,18183.37281,18896.87903,19365.29897,19184.3161,19489.07887,20607.09903
Europe & Central Asia,,15848.96481,16646.00906,17438.8046,18098.66435,19221.45876,20261.96758,22419.59104,24020.03106,25666.88081,24949.49248,26010.07248,27766.59967,28490.11918,29491.77531,30248.24541,30654.8667,31378.69748,32780.14382
Ecuador,61,5855.634754,6120.930896,6360.968733,6555.372742,7169.972305,7664.289273,8110.485561,8366.145444,8920.500827,8889.213526,9163.159136,9926.903441,10512.31875,11037.34677,11483.9968,11446.36514,11242.04752,11617.42885
"Egypt, Arab Rep.",,5856.221721,6086.419738,6207.541692,6410.523732,6728.861316,7124.489862,7708.047561,8327.410813,8939.282135,9255.383927,9658.065215,9823.823287,10003.35422,10156.41485,10407.78167,10750.4563,11134.02672,11582.594
Euro area,,25317.12636,26513.81797,27539.11425,27954.7664,29071.83338,30106.4643,32521.90089,34411.14934,35746.99604,34844.25396,35842.43756,37434.34967,37810.26639,38991.82905,39921.56644,40864.7359,42080.96377,43784.14337
Eritrea,65,1330.93985,1436.292218,1453.333656,1395.231872,1409.043034,1450.333417,1444.85803,1473.074941,1329.644373,1366.590931,1387.714663,1510.458929,,,,,,
Spain,170,21530.47468,22929.8622,24363.01492,25054.26078,26189.45552,27702.46431,30819.2424,32591.40996,33463.6541,32385.20632,31954.24275,32068.27093,31988.25387,32603.90577,33709.64924,34818.12051,36305.22213,38090.9406
Estonia,66,9419.756951,10311.35404,11590.60317,13063.80803,14424.5942,16516.14387,19260.49339,21960.5075,22664.03933,20498.70606,21602.74074,24543.06747,26022.46885,27495.73442,28538.42864,28688.96877,29743.33743,31637.67832
Ethiopia,67,490.0363908,527.3172499,528.06452,512.0775458,580.921474,652.1060614,724.9016942,807.4365645,888.1424517,948.2249523,1052.104262,1162.783317,1253.243318,1371.981671,1500.654548,1632.551806,1734.464075,1899.208126
European Union,,22572.63018,23689.64325,24733.13694,25324.58931,26558.90157,27505.43046,29757.45902,31530.69545,32957.6721,32161.55385,33259.68977,34720.33564,35279.49053,36492.3788,37502.72999,38457.37629,39624.74031,41326.81416
Fragile and conflict affected situations,,2421.023482,2491.132734,2456.353541,2309.884219,2670.873551,2875.164047,3100.160323,3273.9202,3443.610875,3549.44279,3729.316075,3547.557001,3964.25219,4103.65523,4126.85802,4144.105176,4269.809834,4394.369391
Finland,69,26748.63105,27793.71833,28567.1712,28982.92386,31129.29964,31993.40726,34367.47428,37696.64762,39969.3876,37823.22919,38775.17486,40683.52758,40620.17607,41293.51577,41470.20236,42071.19127,43378.14603,45191.59402
Fiji,68,5289.881521,5498.341665,5750.991919,5917.528964,6388.993904,6612.747688,6895.237516,6956.304866,7093.550249,6976.983703,7203.365693,7488.829381,7676.778694,8113.236145,8661.655883,9027.542438,9109.951924,9554.602534
France,70,26090.10166,27524.42994,28523.88573,28139.55706,29044.39611,30498.57929,32439.06176,34082.45916,35095.26023,34678.94158,35935.0262,37440.64149,37679.13326,39523.87012,40141.59032,40564.46071,41357.98693,42778.92888
Faroe Islands,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,2472.299737,2579.23139,2639.018015,2748.333305,2741.629518,2898.409605,2998.005601,3034.795573,3043.078983,3117.741846,3230.949855,3412.906554,3405.472279,3320.56348,3297.326408,3483.455937,3508.715192,3622.331967
Gabon,72,14095.07303,14360.89758,14183.77902,14415.99098,14520.30388,14961.75104,14555.82283,15369.25308,14686.61432,14347.32297,15045.15818,15893.54772,16457.39225,17078.49864,17569.95441,17928.89201,18071.25689,18183.12368
United Kingdom,,26245.85621,27462.61251,28806.88884,30043.99723,31732.9523,32436.87959,34500.70813,35289.39801,36257.51245,34589.5666,35875.45628,36607.98109,37705.59422,39308.13457,40707.20099,41579.86341,42656.2166,43876.59936
Georgia,74,2587.027809,2793.302651,3011.616877,3455.755048,3808.345012,4364.786505,4985.276523,5825.773265,6155.927442,6054.394897,6597.568549,7315.090898,8026.507187,8541.81226,9216.716264,9610.543382,10004.52841,10698.68087
Ghana,76,1790.597787,1857.307893,1920.939582,2008.478808,2123.225052,2260.999579,2415.537414,2520.728064,2733.285353,2814.3581,2997.496491,3404.459566,3699.357199,3940.097375,4075.34121,4181.412842,4295.21767,4641.323379
Gibraltar,,,,,,,,,,,,,,,,,,,
Guinea,81,1126.034378,1172.19164,1228.88743,1245.527815,1284.830659,1339.178009,1368.105596,1468.414251,1524.956513,1485.774748,1541.714301,1625.560273,1715.176822,1771.392998,1827.442103,1872.367758,2043.06019,2284.778752
"Gambia, The",,1228.245776,1288.664167,1226.483477,1294.582639,1378.773245,1365.193894,1378.274164,1420.511428,1483.758347,1541.959303,1610.981598,1524.768774,1589.072363,1640.010903,1633.063021,1669.74581,1676.878795,1714.5931
Guinea-Bissau,82,1080.622902,1107.804247,1091.333456,1095.971555,1132.229424,1191.608219,1228.267586,1272.123255,1307.097078,1328.551484,1372.035864,1475.38909,1438.981556,1470.899984,1472.978369,1540.315132,1616.4238,1700.219832
Equatorial Guinea,64,8554.627584,13726.63404,15984.2427,17823.75329,24219.66767,27933.46545,29643.92635,33513.74211,38441.34833,37496.56822,33041.18835,34363.15291,36288.40627,33877.54224,33228.16118,29341.48771,26142.08953,24816.86684
Greece,77,19515.78932,20981.01394,22615.93565,23868.52441,25446.38326,25577.52408,28523.24233,29286.87291,30856.01183,30359.9253,28175.85552,26141.31959,25284.46408,26097.8719,26838.45523,26697.2485,26764.96161,27809.39996
