"Overall Rank","Country","Score","Change Over Prior Year","GDP per capita","Social support","Healthy life expectancy","Freedom to make life choices","Generosity","Trust"
"1","Denmark","7.526","-0.401","1.4417843819","1.1637449265","0.7950401306","0.5794125795","0.3617095649","0.4445321858"
"2","Switzerland","7.509","0.035","1.5273342133","1.1452364922","0.8630290627","0.5855717659","0.2808253467","0.4120327234"
"3","Iceland","7.501","0.000","1.4266554117","1.1832593679","0.8673328161","0.5662423372","0.4767839015","0.1497474164"
"4","Norway","7.498","0.082","1.5774401426","1.1268956661","0.795789361","0.596085906","0.3789480925","0.3577578962"
"5","Finland","7.413","-0.259","1.4059786797","1.134640336","0.8109139204","0.5710368156","0.2549190819","0.4100397825"
"6","Canada","7.404","-0.041","1.4401477575","1.0960981846","0.8276035786","0.5737001896","0.4483413696","0.3132919967"
"7","Netherlands","7.339","-0.119","1.4646838903","1.0291227102","0.8123089671","0.5521135926","0.4741576314","0.2992680669"
"8","New Zealand","7.334","-0.097","1.3606619835","1.1727817059","0.8309572339","0.5814732909","0.4940109551","0.4190437794"
"9","Australia","7.313","0.002","1.4444261789","1.1047552824","0.8512034416","0.5683658719","0.4740689993","0.3233065605"
"10","Sweden","7.291","-0.017","1.45181036","1.0876401663","0.8312124014","0.5821848512","0.3825379014","0.4086659253"
"11","Israel","7.267","0.258","1.3376606703","0.9953728318","0.8491719365","0.3643200099","0.3228764832","0.0872783288"
"12","Austria","7.119","-0.003","1.4503824711","1.0838325024","0.8056452274","0.5435519218","0.3286470771","0.213483572"
"13","United States","7.104","-0.261","1.5079622269","1.0478150845","0.7789978981","0.4816303849","0.4107684493","0.1486830562"
"14","Costa Rica","7.087","-0.171","1.0687948465","1.0215240717","0.7614648342","0.5522507429","0.2255250663","0.1054651439"
"15","Puerto Rico","7.039","0.446","1.3594307899","1.0811303854","0.77758044","0.468232125","0.2220221758","0.1227526292"
"16","Germany","6.994","0.486","1.4478666782","1.0977385044","0.8148694634","0.5346622467","0.3045226634","0.2855077386"
"17","Brazil","6.952","0.474","1.0875415802","1.0393776894","0.6141526103","0.4042548239","0.1577630639","0.1416589469"
"18","Belgium","6.929","-0.311","1.4253904819","1.0524871349","0.819593668","0.5135375857","0.2423993349","0.2624757886"
"19","Ireland","6.907","-0.238","1.4834135771","1.1615680456","0.8145487309","0.5400843024","0.4496281445","0.29753685"
"20","Luxembourg","6.871","0.000","1.6975241899","1.0399930477","0.8454193473","0.5487023592","0.2757112384","0.3532930613"
"21","Mexico","6.778","0.225","1.1150808334","0.7146037817","0.7114341855","0.3770864308","0.1173546165","0.1835472286"
"22","Singapore","6.739","0.099","1.6455464363","0.8675758243","0.9471881986","0.4876993597","0.3270626366","0.4698693752"
"23","United Kingdom","6.725","-0.161","1.4028302431","1.0867158175","0.8099051714","0.5003592372","0.5015631914","0.2739896178"
"24","Chile","6.705","0.826","1.2166962624","0.9058710337","0.8188331723","0.3778933883","0.3159534633","0.1145077571"
"25","Panama","6.701","0.191","1.1830573082","0.9891213179","0.7083465457","0.489274472","0.2418012917","0.0842297524"
"26","Argentina","6.650","0.457","1.1513652802","1.06612432","0.6971127391","0.4228351116","0.1098892763","0.0729601532"
"27","Czech Republic","6.596","0.126","1.3091534376","1.0079317093","0.7637550831","0.4141770601","0.0992866009","0.0398555696"
"28","United Arab Emirates","6.573","-0.161","1.5735214949","0.8711368442","0.729932189","0.56214571","0.265909791","0.3556123972"
"29","Uruguay","6.545","0.804","1.1815726757","1.0314253569","0.7218269706","0.5438767076","0.1805562228","0.2139369994"
"30","Malta","6.488","0.000","1.3078153133","1.0987920761","0.8031540513","0.5499418378","0.5623658299","0.1755438596"
"31","Colombia","6.481","0.399","1.0303161144","1.0216941833","0.5965915322","0.447348237","0.1562592834","0.0539888293"
"32","France","6.478","-0.336","1.3948835135","1.0050801039","0.8379499316","0.4656184316","0.1216034293","0.1780825406"
"33","Thailand","6.474","0.631","1.0892964602","1.0447679758","0.6491533518","0.4955292046","0.5869607329","0.0283324588"
"34","Saudi Arabia","6.379","-0.794","1.489526391","0.8482907414","0.5926672816","0.3790410459","0.1545744091","0.3000762463"
"35","Taiwan","6.379","0.190","1.3972855806","0.9262422323","0.7956533432","0.3237749338","0.2549514174","0.0663010776"
"36","Qatar","6.375","0.000","1.8242655993","0.879637301","0.7172298431","0.5667852163","0.3238770664","0.4804934263"
"37","Spain","6.361","-0.711","1.3425308466","1.1294467449","0.8789597154","0.3754473031","0.1766497791","0.0613727942"
"38","Algeria","6.355","0.000","1.0526602268","0.8330851197","0.6180430055","0.2100568414","0.0704415888","0.1615698934"
"39","Guatemala","6.324","0.211","0.8345445991","0.8711899519","0.5403863192","0.5037861466","0.2880834639","0.0870145261"
"40","Suriname","6.269","0.000","1.0968588591","0.778662622","0.5093337297","0.522341907","0.166648671","0.1269214302"
"41","Kuwait","6.239","0.164","1.617141366","0.8775829673","0.6356884837","0.4316607714","0.1596526057","0.2366917282"
"42","Bahrain","6.218","0.000","1.4402440786","0.9439676404","0.6569579244","0.4737530947","0.1714700311","0.2577214539"
"43","Trinidad and Tobago","6.168","0.336","1.3257164955","0.9856855869","0.526080966","0.4845285714","0.3193477988","0.0124091571"
"44","Venezuela","6.084","-0.762","1.1336735487","1.0330225229","0.619042635","0.1984726042","0.0425043665","0.0830413029"
"45","Slovakia","6.078","0.814","1.2797255516","1.0826756954","0.7036705017","0.233906135","0.1383716613","0.029473193"
"46","El Salvador","6.068","0.572","0.87369591","0.8097509742","0.5960039496","0.3726858795","0.0887738466","0.1061256081"
"47","Malaysia","6.005","-0.132","1.2514206171","0.8802458048","0.6236553192","0.3903080523","0.4147358537","0.0908133984"
"48","Nicaragua","5.992","1.285","0.6938384175","0.8952095509","0.652131021","0.4658235908","0.2977322638","0.1629166454"
"49","Uzbekistan","5.987","0.755","0.7359129786","1.1680964231","0.50163275","0.6084825397","0.3432642519","0.2833272517"
"50","Italy","5.977","-0.735","1.3549468517","1.0416674614","0.8510178924","0.1882666349","0.1668388247","0.0255564898"
"51","Ecuador","5.976","0.966","0.9730648994","0.8597406745","0.6861296892","0.4026999772","0.1007360518","0.1803716719"
"52","Belize","5.956","-0.495","0.8761627078","0.6865458488","0.4556876719","0.5123116374","0.2368406206","0.1077113003"
"53","Japan","5.921","-0.446","1.3800731897","1.0605419874","0.9149106145","0.4676066041","0.1022433341","0.1898534745"
"54","Kazakhstan","5.919","0.322","1.2294282913","0.9554359317","0.5738577247","0.4052021801","0.1501096785","0.1113162115"
"55","Moldova","5.897","0.959","0.6917694211","0.8313174248","0.5230854154","0.2520246208","0.199973464","0.0190307777"
"56","Russia","5.856","0.738","1.2322819233","1.0526081324","0.5899056792","0.3268172145","0.02736127","0.035856802"
"57","Poland","5.835","0.098","1.2458469868","1.0468478203","0.6905810237","0.4519023895","0.1444347352","0.0549958162"
"58","South Korea","5.835","0.295","1.3594768047","0.7219352722","0.8864485025","0.2516808808","0.1882361621","0.0771562681"
"59","Bolivia","5.822","0.322","0.79421556","0.8377884626","0.469702065","0.5096078515","0.2169784009","0.077457048"
"60","Lithuania","5.813","-0.069","1.2692000866","1.0641099215","0.6467440128","0.1892888695","0.0202470087","0.0181965195"
"61","Belarus","5.802","0.165","1.1306223869","1.049929738","0.6310362816","0.2909103632","0.1394187957","0.1745696366"
"62","Northern Cyprus","5.771","0.000","1.311412096","0.81825912","0.8414180279","0.4359619617","0.2632177472","0.1657832414"
"63","Slovenia","5.768","-0.044","1.2994650602","1.0561345816","0.791508019","0.5316392183","0.2573845983","0.0363498144"
"64","Peru","5.743","0.730","0.9960178137","0.8125536442","0.6299428344","0.3750168383","0.1452705413","0.0529199392"
"65","Turkmenistan","5.658","0.000","1.0801707506","1.0381743908","0.4400574863","0.3740775287","0.2256651074","0.2846719921"
"66","Mauritius","5.648","0.000","1.1437226534","0.7569501996","0.6618861556","0.4614471197","0.3695106208","0.0520299934"
"67","Libya","5.615","0.000","1.0668759346","0.9507648349","0.5230429769","0.4067194164","0.1708683521","0.1033921018"
"68","Latvia","5.560","0.872","1.217876792","0.9502541423","0.6395242214","0.279956311","0.1744531542","0.0888952613"
"69","Cyprus","5.546","-0.692","1.3185654879","0.7069738507","0.8488041162","0.2950660288","0.2790597975","0.0522774346"
"70","Paraguay","5.538","0.536","0.8937298059","1.1111067533","0.5829548836","0.4623516202","0.2529580593","0.0739598572"
"71","Romania","5.528","0.310","1.1697000265","0.7280260324","0.6760209203","0.3671217561","0.1288931966","0.0067887558"
"72","Estonia","5.517","0.165","1.2796369791","1.0516268015","0.6809805036","0.4151144028","0.0842252672","0.1851904094"
"73","Jamaica","5.510","-0.698","0.8933306932","0.9637185931","0.5946877003","0.4359695911","0.2224498093","0.0429396406"
"74","Croatia","5.488","-0.333","1.1864858866","0.608087182","0.7052406669","0.239070639","0.1843449175","0.0400246046"
"75","Hong Kong","5.458","-0.053","1.5107015371","0.8702082038","0.9527732134","0.4807891846","0.4009681642","0.3164663315"
"76","Somalia","5.440","0.000","0","0.3361340761","0.1146622747","0.5677813292","0.2722466886","0.3117980361"
"77","Kosovo[Note 4]","5.401","0.298","0.9014519453","0.660622716","0.5400031805","0.1439637691","0.2799194455","0.0654712021"
"78","Turkey","5.389","0.216","1.1649216413","0.87717098","0.6471834183","0.2388880253","0.0470687002","0.1234792024"
"79","Indonesia","5.314","0.295","0.9510406256","0.8762512803","0.4937413037","0.3923656046","0.5652139187","0.0032229968"
"80","Jordan","5.303","-0.638","0.9967264533","0.8621605635","0.6071192622","0.3602299392","0.1426221281","0.1329706013"
"81","Azerbaijan","5.291","0.642","1.1237323284","0.7604236603","0.5450363755","0.3532659709","0.0563963018","0.1791367233"
"82","Philippines","5.279","0.425","0.8121714592","0.8787720203","0.4703565836","0.5485381484","0.2167407721","0.1175678968"
"83","People's Republic of China","5.245","0.525","1.0277971029","0.7938081026","0.7356149554","0.4401235878","0.0495882072","0.0274517648"
"84","Bhutan","5.196","0.000","0.8526992202","0.9083616138","0.4975917041","0.4607385993","0.4854550362","0.161598593"
"85","Kyrgyzstan","5.185","0.515","0.5604439974","0.9543383121","0.5544906259","0.4021192193","0.3843153119","0.0476213433"
"86","Serbia","5.177","0.426","1.0343708992","0.813292861","0.6458012462","0.1571819782","0.2073651701","0.0433913954"
"87","Bosnia and Herzegovina","5.163","0.263","0.9338259101","0.6436693072","0.7076622248","0.0951133594","0.2988905609","0"
"88","Montenegro","5.161","-0.035","1.0783772469","0.7417290807","0.6353257895","0.1511066258","0.1719127148","0.1272125095"
"89","Dominican Republic","5.155","0.070","1.0278708935","0.9949592948","0.5766890049","0.5225855112","0.2128571421","0.12371701"
"90","Morocco","5.151","0.000","0.8405756354","0.3859546185","0.5947147012","0.2564625442","0.0405280329","0.0840425566"
"91","Hungary","5.145","0.070","1.2414191961","0.9316383004","0.6760838032","0.1977033168","0.098998934","0.0447212234"
"92","Pakistan","5.132","-0.374","0.6881636381","0.2613525689","0.4030638337","0.1462197453","0.3118460178","0.1388043612"
"93","Lebanon","5.129","0.059","1.1226786375","0.6418367028","0.7617095709","0.262280792","0.2369330823","0.0306065753"
"94","Portugal","5.123","-0.282","1.2760744095","0.9436689019","0.793625772","0.4472651184","0.1169064119","0.0152057726"
"95","Macedonia","5.121","0.627","1.0192979574","0.7823568583","0.6473792195","0.276682049","0.2350725234","0.0704708472"
"96","Vietnam","5.061","-0.299","0.7403743267","0.7911670804","0.6615650654","0.5595411658","0.2507525682","0.1155620739"
"97","Somaliland region","5.057","0.000","0.255577445","0.7586234808","0.3310761154","0.3912950158","0.5147906542","0.3679408431"
"98","Tunisia","5.045","0.000","0.9772385955","0.4316480458","0.5957660079","0.2355278879","0.0393615216","0.0816984922"
"99","Greece","5.033","-1.294","1.2488620281","0.7547316551","0.8002893329","0.0582211949","0","0.0412724689"
"100","Tajikistan","4.996","0.474","0.4883491993","0.7560246587","0.5311854482","0.434081018","0.2599796951","0.1350889355"
"101","Mongolia","4.907","0.298","0.9885272384","1.0898308754","0.554693222","0.3597187698","0.3453855515","0.0328501724"
"102","Laos","4.876","-0.344","0.6804234385","0.549695015","0.3829056323","0.5216754079","0.4307881296","0.2242290527"
"103","Nigeria","4.875","0.075","0.7521632314","0.6449794173","0.0510790199","0.2785388231","0.2321866155","0.0305018276"
"104","Honduras","4.871","-0.375","0.6942926049","0.7559584379","0.5838286281","0.267550528","0.2044030428","0.0690619946"
"105","Iran","4.813","-0.507","1.1175779104","0.3885716796","0.6423233747","0.2254371494","0.3853824735","0.0556964278"
"106","Zambia","4.795","0.381","0.6120217443","0.637601912","0.235732168","0.4266164601","0.1786570698","0.1147906184"
"107","Nepal","4.793","0.135","0.4462570548","0.6969850063","0.5007292032","0.3701159954","0.3815962374","0.0700814053"
"108","Palestinian Territories[Note 5]","4.754","0.321","0.670235455","0.7162941694","0.5684379935","0.1774387658","0.1115362793","0.1061338559"
"109","Albania","4.655","0.021","0.9553028941","0.5016273856","0.7300697565","0.3186602592","0.1683950126","0.0530097373"
"110","Bangladesh","4.643","0.170","0.5417668819","0.2474909127","0.5298885107","0.397775203","0.191324383","0.1258336604"
"111","Sierra Leone","4.635","1.028","0.364854157","0.6280034184","0","0.3068512082","0.2389721274","0.0819622651"
"112","Iraq","4.575","0.000","1.0747433901","0.5920470357","0.5107596517","0.2485591471","0.1958882064","0.1363555491"
"113","Namibia","4.574","-0.312","0.9328721166","0.703617692","0.3474542797","0.4861379266","0.0779496282","0.1039759517"
"114","Cameroon","4.513","0.413","0.5249726772","0.6254190803","0.1269759238","0.4273615181","0.2267952859","0.0612634867"
"115","Ethiopia","4.508","0.000","0.2928332686","0.37931633","0.3457763195","0.3670291305","0.2952185571","0.1716993749"
"116","South Africa","4.459","-0.686","1.0241649151","0.9605335593","0.1861099601","0.4248252511","0.1365633756","0.0841543823"
"117","Sri Lanka","4.415","0.037","0.9731776118","0.8478294611","0.6200683117","0.5081717968","0.4697829187","0.079638049"
"118","India","4.404","-0.750","0.7403585315","0.2924744487","0.4509114325","0.4028455615","0.2502847314","0.0872217789"
"119","Myanmar","4.395","0.000","0.3411233127","0.6998114586","0.3987995386","0.4269192219","0.8197111487","0.2024345249"
"120","Egypt","4.362","-0.996","0.9539512992","0.4981312156","0.5211619139","0.1884650439","0.1270608902","0.1039294451"
"121","Armenia","4.360","-0.226","0.8608591557","0.6247681975","0.6408339143","0.1403724104","0.0779285729","0.0361571684"
"122","Kenya","4.356","-0.044","0.5226711631","0.7623973489","0.3014716506","0.405755043","0.4132779241","0.0668590665"
"123","Ukraine","4.324","-0.701","0.8728690147","1.014131546","0.586279273","0.1285888702","0.2036271244","0.018293051"
"124","Ghana","4.276","-0.600","0.6310686469","0.493525058","0.2968133986","0.4097322226","0.2120326459","0.0326029062"
"125","Republic of the Congo","4.272","0.000","0.0566060133","0.8067646623","0.1880039275","0.1560170501","0.2545780838","0.0607489981"
"126","Georgia","4.252","0.561","0.8379245996","0.1924944371","0.6403460503","0.3246101141","0.0678588822","0.31879583"
"127","Democratic Republic of the Congo","4.236","0.000","0.7710928917","0.477987349","0.2821151912","0.3793767393","0.1207708791","0.0975292698"
"128","Senegal","4.219","-0.328","0.4431370199","0.7741596699","0.404569447","0.3105579317","0.1910338402","0.1168092117"
"129","Bulgaria","4.217","0.373","1.1130646467","0.9254174232","0.6780562401","0.2121911049","0.1279297024","0.0061538098"
"130","Mauritania","4.201","0.052","0.6139080524","0.8414196968","0.2863945961","0.126799494","0.2268636078","0.1795488149"
"131","Zimbabwe","4.193","0.639","0.3504098356","0.714784801","0.1595008969","0.2542897463","0.1850303113","0.0858165845"
"132","Malawi","4.156","-0.205","0.0870939568","0.1470022053","0.2936448753","0.4143017232","0.3096785843","0.0756367594"
"133","Sudan","4.139","0.000","0.6306907535","0.8192826509","0.2975911498","0","0.1807745397","0.1003870592"
"134","Gabon","4.121","0.000","1.1585088968","0.7236786485","0.3494042456","0.280975461","0.0624370538","0.0931418166"
"135","Mali","4.073","0.059","0.3129241765","0.8633272648","0.1634719521","0.2754392624","0.2106413245","0.1364662796"
"136","Haiti","4.028","0.274","0.3409727216","0.2956138253","0.2749408185","0.1207239479","0.4795780778","0.1447578669"
"137","Botswana","3.974","-0.765","1.0942573547","0.8918649554","0.347515285","0.4408920407","0.1242517233","0.10769476"
"138","Comoros","3.956","0.000","0.2750940025","0.6032307148","0.2998083532","0.1541177928","0.1827025265","0.184365198"
"139","Ivory Coast","3.916","0.000","0.5550658703","0.5757588148","0.0447590686","0.4066289961","0.2033821046","0.1552985609"
"140","Cambodia","3.907","0.045","0.5560393333","0.5374981761","0.424944222","0.588519156","0.4033884108","0.0809228942"
"141","Angola","3.866","0.000","0.8473098278","0.6636593938","0.0499126837","0.0058863508","0.1207074374","0.084338747"
"142","Niger","3.856","-0.144","0.1327024996","0.6052974463","0.261615485","0.3804078996","0.2097005248","0.1717639118"
"143","South Sudan","3.832","0.000","0.3939363658","0.1851870269","0.1578136235","0.1966249794","0.258987993","0.1301515698"
"144","Chad","3.763","-0.025","0.4221419394","0.6317756176","0.0382350907","0.1280715764","0.1866670847","0.0495247319"
"145","Burkina Faso","3.739","-0.170","0.3199520111","0.6305371523","0.2129663825","0.3336973786","0.2435251325","0.1253268421"
"146","Uganda","3.739","-0.356","0.3471852541","0.9098122716","0.1962496191","0.4365302622","0.2710182667","0.0644209236"
"147","Yemen","3.724","-0.754","0.5793884397","0.4749314487","0.3104755282","0.2286957204","0.0982092246","0.0589223914"
"148","Madagascar","3.695","-0.285","0.2795436084","0.4611546695","0.3710902631","0.1368377805","0.2203976661","0.0750585049"
"149","Tanzania","3.666","-0.460","0.4715463221","0.7762331367","0.3569995463","0.3176018596","0.3147176206","0.0509896576"
"150","Liberia","3.622","-0.080","0.1070632562","0.5035267472","0.2316546589","0.2574831545","0.2406293005","0.0485215448"
"151","Guinea","3.607","0.000","0.224151656","0.3108991385","0.188288182","0.3095276356","0.2991373837","0.1192028522"
"152","Rwanda","3.515","-0.700","0.3284611106","0.6158624887","0.3186502159","0.5431972146","0.235517174","0.5052086711"
"153","Benin","3.484","0.154","0.3949922621","0.1041889489","0.2102836668","0.3974654675","0.2018008232","0.0668050647"
"154","Afghanistan","3.360","0.000","0.3822656572","0.1103684977","0.1734360456","0.164304629","0.3126798272","0.0711163208"
"155","Togo","3.303","0.100","0.2812265158","0","0.2481121719","0.3467806578","0.1751681417","0.1158718988"
"156","Syria","3.069","0.000","0.7471852303","0.148658514","0.6299359202","0.0691248626","0.4839687645","0.1723297089"
"157","Burundi","2.905","0.000","0.0683097318","0.2344244421","0.157467261","0.0432013497","0.202902168","0.0941875055"
